product_id,product,cost,company
1,Liners - Baking Cups,$6.36,Skipfire
2,Nori Sea Weed - Gold Label,$85.74,Dynazzy
3,Bar Bran Honey Nut,$65.40,Ntag
4,Soup - Campbells Beef Stew,$68.16,Photojam
5,Wine - Shiraz Wolf Blass Premium,$87.39,Eare
6,"Wine - White, Riesling, Semi - Dry",$99.22,Livepath
7,Brandy - Bar,$13.83,Oloo
8,Onions - White,$42.19,Oozz
9,Lettuce - Baby Salad Greens,$30.01,Meevee
10,Sambuca - Ramazzotti,$88.99,Livepath
11,Coffee - Decafenated,$21.47,Meezzy
12,Lamb Leg - Bone - In Nz,$42.56,Photofeed
13,Lettuce - Spring Mix,$19.90,Twitterworks
14,Cookies Oatmeal Raisin,$99.40,Dynabox
15,Cookies Oatmeal Raisin,$14.13,Vitz
16,Sausage - Chorizo,$55.45,
17,Glaze - Apricot,$33.78,Browsezoom
18,Squid Ink,$56.33,Aibox
19,"Loaf Pan - 2 Lb, Foil",$22.83,Brainsphere
20,Bagel - Everything Presliced,$87.05,Trunyx
21,Bagel - Whole White Sesame,$90.48,Realcube
22,Scotch - Queen Anne,$60.26,
23,Puree - Blackcurrant,$16.27,Zoombox
24,"Bread - Bagels, Plain",$31.26,Vitz
25,Snapple Raspberry Tea,$73.70,Innojam
26,Sour Puss - Tangerine,$84.20,Skinder
27,Spaghetti Squash,$47.41,
28,"Wine - Niagara,vqa Reisling",$28.24,
29,Iced Tea Concentrate,$59.23,Photolist
30,Fuji Apples,$22.96,Cogibox
31,Wine - Carmenere Casillero Del,$55.77,Ntag
32,Container Clear 8 Oz,$92.33,Muxo
33,Duck - Legs,$82.22,Voonder
34,Muffin Hinge Container 6,$99.54,Skyble
35,Pie Box - Cello Window 2.5,$95.68,Linkbuzz
36,Bread - English Muffin,$13.83,Quatz
37,Chocolate - Sugar Free Semi Choc,$61.99,Realpoint
38,Pate - Peppercorn,$21.98,Mynte
39,Triple Sec - Mcguinness,$37.45,Oodoo
40,Pepper - Cubanelle,$79.31,Cogibox
41,Squash - Acorn,$65.35,Meemm
42,Sauce - Demi Glace,$87.51,Wordware
43,Pail For Lid 1537,$40.69,Edgeclub
44,Foam Tray S2,$30.67,Jabbersphere
45,Shark - Loin,$45.77,Thoughtstorm
46,Aromat Spice / Seasoning,$61.34,
47,Tobasco Sauce,$48.32,Browsezoom
48,"Apple - Delicious, Golden",$36.67,Skiba
49,Lamb - Rack,$62.60,Gevee
50,Silicone Paper 16.5x24,$63.98,Babbleopia
51,Ecolab - Power Fusion,$75.32,Fliptune
52,"Soup - Knorr, Country Bean",$98.74,Eimbee
53,"Chicken - Thigh, Bone In",$74.06,Topiclounge
54,"Plate - Foam, Bread And Butter",$37.79,Flipstorm
55,Beef - Bresaola,$8.55,Digitube
56,Peach - Fresh,$20.53,Zazio
57,Muffin Hinge - 211n,$68.63,Fanoodle
58,Bar Bran Honey Nut,$73.05,Yakijo
59,"Nut - Almond, Blanched, Whole",$74.28,Eazzy
60,Table Cloth 90x90 Colour,$41.22,Quinu
